MONTH,BOROUGH,NYC,MANHATTAN,PERCENTAGE
1,3178,13954,3178,0.22774831589508385
2,3195,12173,3195,0.2624661135299433
3,3479,13976,3479,0.24892673153978248
4,3540,14042,3540,0.25210084033613445
5,3432,14182,3432,0.24199689747567338
6,2956,12496,2956,0.23655569782330346
7,3055,12974,3055,0.23547094188376755
8,2844,12235,2844,0.23244789538210053
9,2744,12081,2744,0.2271335154374638
10,2831,12225,2831,0.23157464212678935
11,2838,12004,2838,0.2364211929356881
12,2634,11964,2634,0.220160481444333
