ORIGIN_CITY_NAME,weekday_name,HOUR,FL_NUM
"Aberdeen, SD",FRIDAY,0,2
"Aberdeen, SD",FRIDAY,4,5
"Aberdeen, SD",FRIDAY,5,11
"Aberdeen, SD",FRIDAY,6,1
"Aberdeen, SD",FRIDAY,8,1
"Aberdeen, SD",FRIDAY,13,17
"Aberdeen, SD",FRIDAY,15,4
"Aberdeen, SD",FRIDAY,19,1
"Aberdeen, SD",MONDAY,0,1
"Aberdeen, SD",MONDAY,4,6
"Aberdeen, SD",MONDAY,5,8
"Aberdeen, SD",MONDAY,7,1
"Aberdeen, SD",MONDAY,10,1
"Aberdeen, SD",MONDAY,13,15
"Aberdeen, SD",MONDAY,15,3
"Aberdeen, SD",MONDAY,17,2
"Aberdeen, SD",SATURDAY,4,4
"Aberdeen, SD",SATURDAY,5,10
"Aberdeen, SD",SATURDAY,6,1
"Aberdeen, SD",SATURDAY,7,2
"Aberdeen, SD",SATURDAY,9,1
"Aberdeen, SD",SATURDAY,13,18
"Aberdeen, SD",SUNDAY,4,4
"Aberdeen, SD",SUNDAY,5,11
"Aberdeen, SD",SUNDAY,7,1
