AIRLINE_ID,CARRIER_NAME,NET_INCOME
19393,Southwest Airlines Co.,1719647.0
19687,Horizon Air,8713.0
19690,Hawaiian Airlines Inc.,103518.36
19790,Delta Air Lines Inc.,3776999.0
19805,American Airlines Inc.,2440628.93
19874,Air Transport International,-12792.499999999996
19917,United Parcel Service,95618.84999999999
19930,Alaska Airlines Inc.,714400.0
19977,United Air Lines Inc.,1866994.37
20007,Atlas Air Inc.,-37021.33
20046,Air Wisconsin Airlines Corp,-1178.39
20100,Polar Air Cargo Airways,0.0
20107,Federal Express Corporation,1254113.0
20108,Northern Air Cargo Inc.,3888.99
20149,Florida West Airlines Inc.,-1948.6200000000003
20151,Amerijet International,-7361.99
20166,Gulf And Caribbean Cargo,285.44000000000005
20169,Lynden Air Cargo Airlines,8334.849999999999
20177,Asia Pacific,-541.85
20190,Southern Air Inc.,9891.55
20195,Sky Lease Cargo,3310.7
20287,Island Air Hawaii,-11467.55
20304,SkyWest Airlines Inc.,108074.0
20308,Centurion Cargo Inc.,-22507.8
20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",-373.78
20363,Endeavor Air Inc.,-33347.95
20366,ExpressJet Airlines Inc.,-13648.609999999997
20368,Allegiant Air,275369.3
20370,Kalitta Air LLC,6247.5
20372,Kalitta Charters II,2018.6200000000001
20377,Omni Air Express,20230.2
20378,Mesa Airlines Inc.,32620.96
20397,PSA Airlines Inc.,-798.2800000000007
20398,Envoy Air,13553.57
20402,Miami Air International,396.01999999999987
20405,National Air Cargo Group Inc d/ba National Airline,-22467.089999999997
20408,Tatonduk Outfitters Limited d/b/a Everts Air Alask,2632.15
20409,JetBlue Airways,578608.6000000001
20416,Spirit Air Lines,249581.73
20422,Sun Country Airlines d/b/a MN Airlines,25064.890000000003
20436,Frontier Airlines Inc.,169898.19
20447,USA Jet Airlines Inc.,10828.79
20448,Shuttle America Corp.,-339862.62
20452,Republic Airlines,-372098.02
20453,ABX Air Inc,-13136.71
20500,GoJet Airlines LLC d/b/a United Express,-25852.690000000002
21161,"Swift Air, LLC",5141.61
21167,Compass Airlines,2208.4299999999994
21171,Virgin America,107356.28
21352,Avjet Corporation,-3552.5399999999995
21492,"Dynamic Airways, LLC",-14716.69
21629,Western Global,5167.349999999999
21634,Aloha Air Cargo,-530.46
21650,Eastern Airlines Group Inc.,-8343.0
21652,"Jet Aviation Flight Services, Inc.",5587.799999999999
