,ORIGIN_CITY_NAME,DEST_CITY_NAME,AIRLINE_ID,count,CARRIER_NAME
0,"Boston, MA","Atlanta, GA",19393,89,Southwest Airlines Co.
1,"Boston, MA","Austin, TX",19393,30,Southwest Airlines Co.
2,"Boston, MA","Baltimore, MD",19393,280,Southwest Airlines Co.
3,"Boston, MA","Chicago, IL",19393,148,Southwest Airlines Co.
4,"Boston, MA","Columbus, OH",19393,55,Southwest Airlines Co.
5,"Boston, MA","Dallas, TX",19393,30,Southwest Airlines Co.
6,"Boston, MA","Denver, CO",19393,84,Southwest Airlines Co.
7,"Boston, MA","Houston, TX",19393,58,Southwest Airlines Co.
8,"Boston, MA","Indianapolis, IN",19393,55,Southwest Airlines Co.
9,"Boston, MA","Kansas City, MO",19393,49,Southwest Airlines Co.
10,"Boston, MA","Milwaukee, WI",19393,56,Southwest Airlines Co.
11,"Boston, MA","Nashville, TN",19393,82,Southwest Airlines Co.
12,"Boston, MA","St. Louis, MO",19393,59,Southwest Airlines Co.
13,"Boston, MA","Atlanta, GA",19790,308,Delta Air Lines Inc.
14,"Boston, MA","Cincinnati, OH",19790,24,Delta Air Lines Inc.
15,"Boston, MA","Detroit, MI",19790,208,Delta Air Lines Inc.
16,"Boston, MA","Los Angeles, CA",19790,60,Delta Air Lines Inc.
17,"Boston, MA","Minneapolis, MN",19790,163,Delta Air Lines Inc.
18,"Boston, MA","New York, NY",19790,381,Delta Air Lines Inc.
19,"Boston, MA","Orlando, FL",19790,30,Delta Air Lines Inc.
20,"Boston, MA","Salt Lake City, UT",19790,57,Delta Air Lines Inc.
21,"Boston, MA","Seattle, WA",19790,26,Delta Air Lines Inc.
22,"Boston, MA","Atlanta, GA",20416,30,Spirit Air Lines
23,"Boston, MA","Atlantic City, NJ",20416,7,Spirit Air Lines
24,"Boston, MA","Baltimore, MD",20416,60,Spirit Air Lines
25,"Boston, MA","Chicago, IL",20416,30,Spirit Air Lines
26,"Boston, MA","Cleveland, OH",20416,30,Spirit Air Lines
27,"Boston, MA","Dallas/Fort Worth, TX",20416,30,Spirit Air Lines
28,"Boston, MA","Detroit, MI",20416,30,Spirit Air Lines
29,"Boston, MA","Fort Lauderdale, FL",20416,37,Spirit Air Lines
30,"Boston, MA","Las Vegas, NV",20416,30,Spirit Air Lines
31,"Boston, MA","Minneapolis, MN",20416,6,Spirit Air Lines
32,"Boston, MA","Myrtle Beach, SC",20416,30,Spirit Air Lines
33,"Boston, MA","Austin, TX",20409,30,JetBlue Airways
34,"Boston, MA","Baltimore, MD",20409,182,JetBlue Airways
35,"Boston, MA","Buffalo, NY",20409,143,JetBlue Airways
36,"Boston, MA","Charleston, SC",20409,52,JetBlue Airways
37,"Boston, MA","Charlotte Amalie, VI",20409,1,JetBlue Airways
38,"Boston, MA","Charlotte, NC",20409,55,JetBlue Airways
39,"Boston, MA","Chicago, IL",20409,86,JetBlue Airways
40,"Boston, MA","Cleveland, OH",20409,87,JetBlue Airways
41,"Boston, MA","Dallas/Fort Worth, TX",20409,55,JetBlue Airways
42,"Boston, MA","Denver, CO",20409,57,JetBlue Airways
43,"Boston, MA","Detroit, MI",20409,85,JetBlue Airways
44,"Boston, MA","Fort Lauderdale, FL",20409,145,JetBlue Airways
45,"Boston, MA","Fort Myers, FL",20409,79,JetBlue Airways
46,"Boston, MA","Houston, TX",20409,30,JetBlue Airways
47,"Boston, MA","Jacksonville, FL",20409,58,JetBlue Airways
48,"Boston, MA","Las Vegas, NV",20409,88,JetBlue Airways
49,"Boston, MA","Long Beach, CA",20409,20,JetBlue Airways
50,"Boston, MA","Los Angeles, CA",20409,87,JetBlue Airways
51,"Boston, MA","Martha's Vineyard, MA",20409,11,JetBlue Airways
52,"Boston, MA","Nantucket, MA",20409,20,JetBlue Airways
53,"Boston, MA","Nashville, TN",20409,60,JetBlue Airways
54,"Boston, MA","New Orleans, LA",20409,44,JetBlue Airways
55,"Boston, MA","New York, NY",20409,230,JetBlue Airways
56,"Boston, MA","Newark, NJ",20409,169,JetBlue Airways
57,"Boston, MA","Oakland, CA",20409,9,JetBlue Airways
58,"Boston, MA","Orlando, FL",20409,184,JetBlue Airways
59,"Boston, MA","Philadelphia, PA",20409,148,JetBlue Airways
60,"Boston, MA","Phoenix, AZ",20409,30,JetBlue Airways
61,"Boston, MA","Pittsburgh, PA",20409,117,JetBlue Airways
62,"Boston, MA","Portland, OR",20409,21,JetBlue Airways
63,"Boston, MA","Raleigh/Durham, NC",20409,139,JetBlue Airways
64,"Boston, MA","Richmond, VA",20409,112,JetBlue Airways
65,"Boston, MA","Sacramento, CA",20409,4,JetBlue Airways
66,"Boston, MA","Salt Lake City, UT",20409,20,JetBlue Airways
67,"Boston, MA","San Diego, CA",20409,53,JetBlue Airways
68,"Boston, MA","San Francisco, CA",20409,88,JetBlue Airways
69,"Boston, MA","San Jose, CA",20409,18,JetBlue Airways
70,"Boston, MA","San Juan, PR",20409,60,JetBlue Airways
71,"Boston, MA","Savannah, GA",20409,31,JetBlue Airways
72,"Boston, MA","Seattle, WA",20409,57,JetBlue Airways
73,"Boston, MA","Tampa, FL",20409,108,JetBlue Airways
74,"Boston, MA","Washington, DC",20409,391,JetBlue Airways
75,"Boston, MA","West Palm Beach/Palm Beach, FL",20409,88,JetBlue Airways
76,"Boston, MA","Charlotte, NC",19805,256,American Airlines Inc.
77,"Boston, MA","Chicago, IL",19805,271,American Airlines Inc.
78,"Boston, MA","Dallas/Fort Worth, TX",19805,208,American Airlines Inc.
79,"Boston, MA","Los Angeles, CA",19805,118,American Airlines Inc.
80,"Boston, MA","Miami, FL",19805,175,American Airlines Inc.
81,"Boston, MA","New York, NY",19805,450,American Airlines Inc.
82,"Boston, MA","Philadelphia, PA",19805,291,American Airlines Inc.
83,"Boston, MA","Phoenix, AZ",19805,88,American Airlines Inc.
84,"Boston, MA","Washington, DC",19805,420,American Airlines Inc.
85,"Boston, MA","Chicago, IL",19977,247,United Air Lines Inc.
86,"Boston, MA","Denver, CO",19977,105,United Air Lines Inc.
87,"Boston, MA","Houston, TX",19977,130,United Air Lines Inc.
88,"Boston, MA","Los Angeles, CA",19977,52,United Air Lines Inc.
89,"Boston, MA","Madison, WI",19977,1,United Air Lines Inc.
90,"Boston, MA","Newark, NJ",19977,280,United Air Lines Inc.
91,"Boston, MA","San Francisco, CA",19977,222,United Air Lines Inc.
92,"Boston, MA","Washington, DC",19977,110,United Air Lines Inc.
93,"Boston, MA","Cleveland, OH",20366,79,ExpressJet Airlines Inc.
94,"Boston, MA","Cleveland, OH",20366,79,Atlantic Southeast Airlines
95,"Boston, MA","Newark, NJ",20366,6,ExpressJet Airlines Inc.
96,"Boston, MA","Newark, NJ",20366,6,Atlantic Southeast Airlines
97,"Boston, MA","Richmond, VA",20366,79,ExpressJet Airlines Inc.
98,"Boston, MA","Richmond, VA",20366,79,Atlantic Southeast Airlines
99,"Boston, MA","Los Angeles, CA",21171,78,Virgin America
100,"Boston, MA","San Francisco, CA",21171,68,Virgin America
101,"Boston, MA","Portland, OR",19930,30,Alaska Airlines Inc.
102,"Boston, MA","San Diego, CA",19930,30,Alaska Airlines Inc.
103,"Boston, MA","Seattle, WA",19930,86,Alaska Airlines Inc.
