Section,Count,Subclassification
Style,12,"Style/12,"
Multimedia/Photos,42,"Multimedia/Photos/42,"
Obituaries,28,"Obituaries/28,"
membercenter,1,"membercenter/1,"
Your Money,30,"Your Money/29,Credit and Debit Cards/1,"
Real Estate,116,"Real Estate/104,Commercial Real Estate/12,"
Opinion,637,"Sunday Review/80,Opinion/505,International Opinion/1,Room For Debate/17,Campaign Stops/34,"
Paid Death Notices,801,"Paid Death Notices/801,"
Times Topics,4,"Times Topics/4,"
Movies,161,"Movies/158,DVD/3,"
Food,84,"Food/84,"
Fashion & Style,312,"Fashion & Style/123,Men's Runway/70,Weddings/83,Men’s Style/21,Couture Runway/14,Street/1,"
Sports,666,"College Basketball/44,Sports/78,Baseball/50,Soccer/45,Tennis/56,Cricket/4,Horse Racing/5,Olympics/10,Cycling/2,College Football/30,Pro Basketball/87,Skiing/16,Pro Football/144,Auto Racing/4,Golf/16,Rugby/4,Hockey/71,"
Books,166,"Sunday Book Review/115,Books/33,Book Review/18,"
Business Day,530,"Entrepreneurship/2,Business Day/161,International Business/43,Economy/26,Mutual Funds/18,Energy & Environment /17,DealBook/195,Media/68,"
World,649,"World/66,Middle East/171,Asia Pacific/156,Australia/3,Americas/58,Africa/51,Europe/144,"
Arts,581,"Television/121,Arts/158,Music/161,Dance/42,Art & Design/86,International Arts/12,Video Games/1,"
Sunday Review,3,"Sunday Review/3,"
Education,83,"Education/83,"
Universal,60,"Universal/1,Korean/5,América/54,"
Today’s Paper,26,"Today’s Paper/26,"
Technology,132,"Personal Tech/32,Technology/100,"
NYT Now,88,"NYT Now/88,"
T Magazine,141,"Design & Interiors/1,Food/7,T Magazine/72,Art/16,Fashion & Beauty/33,Entertainment/7,Travel/5,"
Theater,80,"Theater/80,"
Science,60,"Environment/1,Space & Cosmos/5,Science/54,"
Travel,90,"Travel/90,"
Corrections,36,"Corrections/36,"
U.S.,968,"U.S./351,Election 2016/2,Politics/615,"
Public Editor,1,"Public Editor/1,"
Health,88,"Research/1,Health/87,"
The Upshot,56,"The Upshot/56,"
Magazine,80,"Magazine/80,"
Times Insider,18,"Times Insider/17,Insider Events/1,"
Blogs,69,"Blogs/69,"
Crosswords & Games,41,"Crosswords & Games/41,"
Great Homes & Destinations,2,"Great Homes & Destinations/2,"
Automobiles,12,"Automobiles/5,New Cars/5,Automobiles/2,"
N.Y. / Region,452,"N.Y. / Region/452,"
Job Market,8,"Job Market/8,"
